year,date,cardinal_direction_seq,classification_seq,hour_00,hour_01,hour_02,hour_03,hour_04,hour_05,hour_06,hour_07,hour_08,hour_09,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,public_holiday,school_holiday
2017,2017-03-16,Southbound,All Vehicles,151,94,61,55,105,413,1030,1601,1567,1246,948,868,952,1068,1301,1588,1433,1565,1337,866,702,663,498,270,0,0
2017,2017-03-16,Northbound,All Vehicles,136,50,46,37,97,319,680,1013,1152,942,870,799,737,765,994,1181,1130,1149,1072,749,617,545,400,215,0,0
2017,2017-03-17,Northbound,All Vehicles,109,60,63,42,88,290,682,983,1139,928,805,795,868,878,1152,1170,1229,1285,1274,905,621,507,517,351,0,0
2017,2017-03-17,Southbound,All Vehicles,145,66,49,50,115,403,1077,1554,1656,1165,961,1007,1142,1131,1374,1581,1576,1606,1471,1019,796,659,609,414,0,0
2017,2017-03-18,Southbound,All Vehicles,247,162,105,76,95,171,472,638,844,983,1101,1162,1320,1257,1271,1356,1199,1143,1089,921,703,712,675,545,0,0
2017,2017-03-18,Northbound,All Vehicles,198,129,71,52,54,176,369,553,775,930,1033,1148,1126,1124,1118,1071,932,1006,988,879,643,629,592,462,0,0
2017,2017-03-19,Northbound,All Vehicles,330,154,88,92,58,111,174,287,454,816,878,943,1045,962,972,916,966,972,958,812,678,522,311,202,0,0
2017,2017-03-19,Southbound,All Vehicles,395,236,133,118,100,131,214,288,452,790,898,1015,1128,1094,1108,1062,1089,1123,1052,803,729,651,568,328,0,0
2017,2017-03-20,Southbound,All Vehicles,145,86,61,95,128,453,1115,1584,1596,1123,854,857,984,972,1259,1497,1568,1603,1358,899,635,553,517,278,0,0
2017,2017-03-20,Northbound,All Vehicles,98,48,32,39,95,339,702,1038,1218,861,770,783,866,820,1001,1140,1209,1226,1134,820,558,425,280,170,0,0
2017,2017-03-21,Northbound,All Vehicles,75,41,41,33,111,299,717,1031,1258,866,664,699,788,837,991,1162,1209,1173,1009,784,548,415,636,594,0,0
2017,2017-03-21,Southbound,All Vehicles,135,76,53,95,129,420,1179,1575,1564,1133,879,947,975,1005,1262,1476,1588,1455,1440,1004,662,573,509,309,0,0
2017,2017-03-22,Southbound,All Vehicles,135,88,60,94,130,443,1181,1627,1639,1150,944,913,970,1002,1278,1423,1036,1214,1476,1080,776,676,477,266,0,0
2017,2017-03-22,Northbound,All Vehicles,298,167,137,143,213,343,689,1038,1198,956,818,786,815,858,1028,1153,1090,779,1244,841,651,511,801,734,0,0
2017,2017-03-23,Southbound,All Vehicles,144,73,54,53,97,420,1167,1582,1554,1162,962,871,969,1019,1274,1409,1466,1573,1468,1004,739,642,527,255,0,0
2017,2017-03-23,Northbound,All Vehicles,397,192,158,170,154,336,700,1008,1147,1031,880,823,744,881,973,1064,1152,1169,1066,890,594,538,387,199,0,0
2017,2017-03-24,Southbound,All Vehicles,128,82,54,61,120,400,1150,1429,1543,1154,1042,1014,1061,1090,1318,1552,1586,1647,1535,1162,788,713,619,482,0,0
2017,2017-03-24,Northbound,All Vehicles,103,58,52,53,109,335,659,976,1054,845,765,805,841,829,1115,1029,1047,1185,1198,1116,649,603,556,393,0,0
2017,2017-03-25,Southbound,All Vehicles,314,144,94,104,93,256,526,687,976,1073,1178,1313,1318,1335,1322,1262,1231,1210,1170,935,746,767,728,616,0,0
2017,2017-03-25,Northbound,All Vehicles,211,123,88,73,79,241,472,546,794,961,1029,1086,1121,1093,1122,1045,1103,967,981,766,622,578,605,511,0,0
2017,2017-03-26,Northbound,All Vehicles,365,183,132,79,45,147,174,296,533,775,930,920,985,1023,989,955,1040,1045,1064,881,830,580,446,225,0,0
2017,2017-03-26,Southbound,All Vehicles,422,201,122,107,114,145,257,343,523,946,1015,987,1230,1288,1008,989,1011,1144,1089,915,716,580,452,250,0,0
2017,2017-03-27,Northbound,All Vehicles,97,58,51,42,93,329,689,1004,1039,837,822,696,801,801,974,1146,1246,1223,1139,870,584,482,355,192,0,0
2017,2017-03-27,Southbound,All Vehicles,143,77,29,54,118,431,1079,1534,1584,1105,844,818,835,957,1197,1494,1594,1633,1408,998,701,521,402,213,0,0
